z,r,dr_dz,d2r_dz2,curvature
181.466173,248.193825,0.636009,-0.007842,0.004711
181.850635,248.277474,0.632838,-0.007883,0.004757
182.235098,248.359529,0.629645,-0.007925,0.004803
182.619560,248.440159,0.626431,-0.007967,0.004849
183.004022,248.519563,0.623196,-0.008009,0.004896
183.388484,248.597807,0.619939,-0.008051,0.004943
183.772946,248.674851,0.616659,-0.008094,0.004991
184.157409,248.750661,0.613358,-0.008136,0.005040
184.541871,248.825240,0.610034,-0.008179,0.005089
184.926333,248.898599,0.606689,-0.008221,0.005138
185.310795,248.970772,0.603320,-0.008264,0.005188
185.695258,249.041813,0.599930,-0.008307,0.005238
186.079720,249.111723,0.596516,-0.008350,0.005289
186.464182,249.180353,0.593080,-0.008393,0.005341
186.848644,249.247537,0.589621,-0.008435,0.005391
187.233107,249.313279,0.586140,-0.008473,0.005441
187.617569,249.377712,0.582638,-0.008515,0.005493
188.002031,249.440952,0.579113,-0.008568,0.005553
188.386493,249.503049,0.575556,-0.008678,0.005650
188.770955,249.564037,0.571928,-0.008928,0.005840
189.155418,249.623931,0.568154,-0.009254,0.006082
189.539880,249.682729,0.564243,-0.009362,0.006185
189.924342,249.740436,0.560366,-0.009121,0.006056
190.308804,249.797070,0.556643,-0.008833,0.005892
190.693267,249.852654,0.552995,-0.008780,0.005884
191.077729,249.907175,0.549304,-0.008879,0.005979
191.462191,249.960595,0.545561,-0.008952,0.006056
191.846653,250.012867,0.541799,-0.008969,0.006097
192.231116,250.063928,0.538029,-0.008981,0.006134
192.615578,250.113719,0.534244,-0.009010,0.006182
193.000040,250.162303,0.530439,-0.009043,0.006235
193.384502,250.209840,0.526614,-0.009072,0.006284
193.768964,250.256450,0.522772,-0.009099,0.006333
194.153427,250.302127,0.518913,-0.009128,0.006383
194.537889,250.346843,0.515034,-0.009157,0.006434
194.922351,250.390593,0.511138,-0.009183,0.006483
195.306813,250.433387,0.507224,-0.009208,0.006532
195.691276,250.475243,0.503294,-0.009241,0.006586
196.075738,250.516200,0.499341,-0.009282,0.006647
196.460200,250.556291,0.495363,-0.009302,0.006693
196.844662,250.595431,0.491380,-0.009280,0.006709
197.229125,250.633442,0.487409,-0.009301,0.006756
197.613587,250.670235,0.483395,-0.009485,0.006922
197.998049,250.705984,0.479253,-0.009796,0.007184
198.382511,250.740905,0.474958,-0.010115,0.007455
198.766973,250.775069,0.470527,-0.010335,0.007656
199.151436,250.808435,0.466027,-0.010270,0.007648
199.535898,250.840970,0.461636,-0.009882,0.007396
199.920360,250.872681,0.457459,-0.009522,0.007161
200.304822,250.903582,0.453367,-0.009468,0.007153
200.689285,250.933709,0.449223,-0.009565,0.007260
201.073747,250.963113,0.445034,-0.009608,0.007327
201.458209,250.991799,0.440840,-0.009596,0.007352
201.842671,251.019632,0.436649,-0.009589,0.007381
202.227134,251.046465,0.432448,-0.009600,0.007423
202.611596,251.072330,0.428234,-0.009614,0.007468
202.996058,251.097400,0.424008,-0.009624,0.007510
203.380520,251.121810,0.419773,-0.009622,0.007543
203.764982,251.145568,0.415536,-0.009611,0.007568
