z,r,dr_dz,d2r_dz2,curvature
170.316768,245.259480,0.325137,-0.009922,0.008534
170.701231,245.383750,0.321325,-0.009909,0.008551
171.085693,245.506555,0.317518,-0.009894,0.008567
171.470155,245.627898,0.313717,-0.009879,0.008581
171.854617,245.747780,0.309922,-0.009862,0.008594
172.239080,245.866205,0.306134,-0.009844,0.008606
172.623542,245.983174,0.302353,-0.009825,0.008616
173.008004,246.098692,0.298580,-0.009804,0.008626
173.392466,246.212760,0.294815,-0.009783,0.008633
173.776928,246.325382,0.291058,-0.009760,0.008639
174.161391,246.436561,0.287310,-0.009736,0.008644
174.545853,246.546301,0.283571,-0.009711,0.008647
174.930315,246.654606,0.279843,-0.009685,0.008649
175.314777,246.761479,0.276124,-0.009657,0.008650
175.699240,246.866925,0.272417,-0.009629,0.008648
176.083702,246.970947,0.268721,-0.009599,0.008646
176.468164,247.073551,0.265036,-0.009568,0.008642
176.852626,247.174740,0.261363,-0.009536,0.008636
177.237089,247.274519,0.257704,-0.009502,0.008629
177.621551,247.372894,0.254057,-0.009468,0.008620
178.006013,247.469870,0.250424,-0.009432,0.008610
178.390475,247.565451,0.246804,-0.009395,0.008598
178.774937,247.659644,0.243200,-0.009357,0.008584
179.159400,247.752453,0.239610,-0.009318,0.008569
179.543862,247.843886,0.236035,-0.009277,0.008552
179.928324,247.933947,0.232476,-0.009235,0.008534
180.312786,248.022642,0.228934,-0.009193,0.008514
180.697249,248.109979,0.225408,-0.009149,0.008493
181.081711,248.195964,0.221899,-0.009103,0.008470
181.466173,248.280603,0.218408,-0.009057,0.008446
181.850635,248.363904,0.214935,-0.009010,0.008419
182.235098,248.445872,0.211480,-0.008961,0.008392
182.619560,248.526516,0.208045,-0.008911,0.008363
183.004022,248.605843,0.204628,-0.008860,0.008332
183.388484,248.683860,0.201232,-0.008808,0.008299
183.772946,248.760575,0.197855,-0.008755,0.008265
184.157409,248.835996,0.194500,-0.008701,0.008230
184.541871,248.910130,0.191165,-0.008646,0.008193
184.926333,248.982987,0.187851,-0.008590,0.008154
185.310795,249.054574,0.184560,-0.008532,0.008114
